pid_true,smiles,Tg (K),Tg (experimental) (K),Tg source,density (kg/m^3),density (std dev) ,density (experimental) (kg/m^3),density source,Order parameter,ree (nm),ree (std dev),rg (nm),rg (std dev),Delta RDF,Steps,Equilibrated?,pid (old)
W01_P080,*CC(*)(CCCCCCCCCCCC),226.6251,262,[1],842.763,1.8736,848,[1],0.0261,2.2818002,0.0612,1.2066,0.0094,0.007,2,TRUE,W01_P115
W01_P081,*NCc1ccccc1CNC(=O)CCCCCCCCC(=O)*,312.3553,388,[1],1086.6957,1.5089,1140,[1],0.043662,6.08901958,0.0269,2.0525,0.0035,0.0166,3,TRUE,W01_P117
W01_P082,[*]CC(C(=O)C)[*],327.8246,308,[1],1081.2123,1.8005,1168,[1],0.008223,2.314980919,0.0158,0.8681,0.002,0.0086,5,TRUE,W01_P122
W01_P083,[*]OC(C)CC(=O)[*],318.3677,282,[1],1163.4641,2.2834,1177,[1],0.016006,2.832753746,0.0163,1.0741,0.0025,0.0137,2,TRUE,W01_P126
W01_P084,[*]C1CCC(CC[*])C1,291.7359,308,[2],925.3786,1.696,960,[14],0.025597,4.905408092,0.032,1.9393,0.0043,0.0042,2,TRUE,W01_P127
W01_P085,c1cc(O[*])ccc1C(=O)c2ccc(Oc3ccc([*])cc3)cc2,389.2305,410,[1],1218.4217,1.8956,1264,[1],0.032459,6.255207692,0.0352,2.2949,0.0031,0.0104,3,TRUE,W01_P128
W01_P086,[*]CCC(=O)[*],-,N/A,N/A,1182.5161,1.8824,1240,[1],0.010216,3.059617383,0.0335,1.2415,0.0062,0.0024,2,TRUE,W01_P130
W01_P087,[*]C(=O)CCCCCCCCCCC(=O)NCCCCCCN[*],283.7114,319,[1],996.5369,1.8231,1060,[1],0.04225,7.19475994,0.0455,2.7186,0.0055,0.0083,3,TRUE,W01_P131
W01_P088,O=C(O[*])C1=CC(C=CC(C(OCC[*])=O)=C2)=C2C=C1,433.9719,393,[1],1259.9853,1.7032,1340,[1],0.045071,5.610835465,0.0181,2.3686,0.0028,0.0121,3,TRUE,W01_P132
W01_P089,[*]C(C1=CC=C(C(NC2=CC=C(N[*])C=C2)=O)C=C1)=O,391.1089,600,[1],1290.2537,1.5217,1480,[1],0.148048,6.059263137,0.0144,2.6154,0.0022,0.0056,2,TRUE,W01_P133
W01_P090,[*]CC([*])CC(C)C,275.0447,298,[1],828.7316,2.032,833,[1],0.025422,1.921270629,0.0337,0.8654,0.0029,0.015,2,TRUE,W01_P134
W01_P091,[*]CC(CCCCCCCCC)[*],216.3638,239.5,[1],840.0535,1.9273,847,[1],0.051143,2.212791009,0.0504,1.0825,0.0051,0.0117,3,TRUE,W01_PX1
W01_P092,[*]CC(c1ccccc1)O[*],312.1057,313,[1],1105.7534,1.8929,1134,[1],0.020554,2.499236963,0.0177,1.0776,0.0026,0.0118,5,TRUE,W01_PX2
W01_P093,[*]OCCC[*],271.9498,193.5,[15],1007.982,2.5545,982,[15],0.01032431,4.035718182,0.0085,1.5296,0.0017,0.0099,2,TRUE,W01_P150
W01_P094,[*]C(=O)CCCCC(=O)NCCCCN[*],293.768,316,[1],1108.917,1.513,1180,[1],0.012975,5.630225874,0.0102,2.1545,0.0013,0.0069,2,TRUE,W01_P157
W01_P095,[*]C(=O)CCCCCCCCCCCN[*],252.1359,323,[2],960.778,2.1021,840,[2],0.047661,6.393036264,0.0137,2.4957,0.0025,0.0181,2,TRUE,W01_P158
W01_P096,[*]CC(CC(C)(C)(C))[*],374.6375,463,[1],822.1596,1.8829,900,[1],0.017644,2.336323477,0.0427,0.9765,0.0033,0.0151,3,TRUE,W01_162
W01_P097,[*]CC(Cl)=CC[*],275.5683,236,[1],1213.257,2.1311,1230,[1],0.013572,3.111603696,0.028,1.2473,0.0048,0.0122,4,TRUE,W01_164
W01_P098,[*]OCCCCOC(=O)CCC(=O)[*],244.2264,241,[1],1203.178,2.2562,1260,[1],0.017713,4.938935465,0.039,1.6807,0.0092,0.0178,2,TRUE,W01_165
W01_P099,[*]CC(CCCC)[*],235.1455,219,[1],833.8054,1.854,860,[1],0.020567,2.197790909,0.0251,0.9438,0.0035,0.0063,2,TRUE,W01_166
W01_P100,[*]CC(CCCC)O[*],255.2444,204,[1],912.7678,2.2412,947.5,[1],0.023744,2.485333467,0.0449,1.055,0.0046,0.0184,2,TRUE,W01_167
W01_P101,[*]OCC(COC)[*],287.952,211,[1],1082.5284,2.1739,1095,[1],0.012577778,2.303694605,0.0112,0.9677,0.0012,0.0114,2,TRUE,W01_P080
W01_P102,[*]CC(OCCCCCC)[*],-,-,,894.7144,2.1954,-,-,0.0204,2.5610424,0.0829,1.1096,0.0045,0.0337,6,FALSE,W01_P119
W01_P103,[*]CC(CCCCC)[*],-,-,,835.0498,1.8911,-,-,0.0149,2.7548,0.0448,0.9474,0.0043,0.0326,6,FALSE,W01_161
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"[1] - Ellis, B., & Smith, R. (Eds.). (2008). Polymers: A Property Database, Second Edition (2nd ed.). CRC Press. https://doi.org/10.1201/9781420005707, accessed 18 Mar. 2026.",,,,,,,,,,,,,,,,,
"[2] - Mark, James E (ed.), Polymer Data Handbook: Second Edition (New York, NY, 2009; online edn, Oxford Academic, 31 Oct. 2023), https://doi.org/10.1093/oso/9780195181012.001.0001, accessed 18 Mar. 2026.",,,,,,,,,,,,,,,,,
"[3] - Brandrup, J., Immergut, E. H., Grulke, E. A., Abe, A., & Bloch, D. R. (n.d.). Polymer Handbook (4th Edition). Retrieved from https://app.knovel.com/hotlink/toc/id:kpPHE00026/polymer-handbook-4th/polymer-handbook-4th, accessed 18 Mar. 2026.",,,,,,,,,,,,,,,,,
"[4] - Herfurth, C., Malo de Molina, P., Wieland, C., Rogers, S., Gradzielski, M., & Laschewsky, A. (2012). One-step RAFT synthesis of well-defined amphiphilic star polymers and their self-assembly in aqueous solution. Polym. Chem., 3, 1606–1617. doi:10.1039/C2PY20126G",,,,,,,,,,,,,,,,,
"[5] - Asrorov, U. A. (2024). Polyacrylamide’s Rheological and Physicochemical Properties: Analysis and Applications. East European Journal of Physics, (4), 413-418. https://doi.org/10.26565/2312-4334-2024-4-48",,,,,,,,,,,,,,,,,
"[6] - PVAM Polyvinylamine Cationic (2025). Wuhanbrightchemical.com. https://www.wuhanbrightchemical.com/pvam-polyvinylamine-cationic-polymer-5332454.html, accessed 23 Mar. 2026.",,,,,,,,,,,,,,,,,
"[7] - POLY(2-VINYLPYRIDINE) | 25014-15-7. (2026). ChemicalBook. https://www.chemicalbook.com/ChemicalProductProperty_EN_CB2118219.htm, accessed 23 Mar. 2026.",,,,,,,,,,,,,,,,,
"[8] - 25035-84-1 CAS MSDS (POLY(VINYL PROPIONATE)) Melting Point Boiling Point Density CAS Chemical Properties. (2017). Chemicalbook.com. https://www.chemicalbook.com/ChemicalProductProperty_US_CB8294665.aspx, accessed 23 Mar. 2026.",,,,,,,,,,,,,,,,,
"[9] - Fortin, J.B., Lu, TM. (2004). Chemical Vapor Deposition Polymerization. Springer, Boston, MA. https://doi.org/10.1007/978-1-4757-3901-5_4",,,,,,,,,,,,,,,,,
"[10] - Poly(N-vinyl acetamide). (2026). Alfa-Chemistry.com. https://www.alfa-chemistry.com/poly-n-vinyl-acetamide-cas-28408-65-3-item-120229.htm, accessed 23 Mar. 2026.",,,,,,,,,,,,,,,,,
"[11] - Poly(4-vinylphenol), Mw approx. 11,000. (2026). Scientific Laboratory Supplies. https://www.scientificlabs.co.uk/product/hydrophobic-polymers/436216-5G#specification",,,,,,,,,,,,,,,,,
"[12] - POLYANILINE | 25233-30-1. (2022). ChemicalBook. https://www.chemicalbook.com/ChemicalProductProperty_EN_CB7372142.htm, accessed 23 Mar. 2026.",,,,,,,,,,,,,,,,,
"[13] - Glycidyl phenyl ether | 122-60-1. (2026). ChemicalBook. https://www.chemicalbook.com/ChemicalProductProperty_EN_CB2429443.htm, accessed 23 Mar. 2026.",,,,,,,,,,,,,,,,,
"[14] - POLY(1,3-CYCLOPENTYLENEVINYLENE) | 25038-76-0. (2026). Chemicalbook. https://amp.chemicalbook.com/ChemicalProductProperty_EN_CB1145588.htm, accessed 23 Mar. 2026.",,,,,,,,,,,,,,,,,
"[15] - Bicerano, J. (2002). Prediction of Polymer Properties (3rd ed.). CRC Press. https://doi.org/10.1201/9780203910115",,,,,,,,,,,,,,,,,
